             text_00     text_01     text_02     text_03     text_04     text_05     text_06     text_07     text_08     text_09     text_10     text_11     text_12     text_13     text_14     total      
antipodal    15          5           14          9           12          8           9           6           12          11          5           9           12          7           7           141        
arccos       13          9           8           14          5           13          12          9           18          15          9           9           13          10          9           166        
axiomatic    11          13          10          9           12          11          12          8           16          6           6           14          5           5           10          148        
az           9           9           6           12          6           10          12          8           6           9           21          9           20          10          10          157        
bison        7           17          10          11          15          10          11          4           14          9           11          8           9           8           14          158        
bouquet      9           9           16          15          9           7           11          12          6           10          10          17          10          9           6           156        
chester      9           13          7           11          14          14          13          9           14          3           11          9           8           5           8           148        
collectible  13          11          12          8           8           10          9           8           14          11          12          16          3           9           10          154        
dyad         5           9           8           14          15          6           7           11          10          8           11          6           10          10          6           136        
femur        9           12          7           5           9           10          9           8           11          9           15          10          7           13          8           142        
finnegan     6           11          14          14          12          12          12          9           8           13          12          5           16          13          10          167        
fleawort     6           13          13          9           9           11          10          10          9           6           10          12          5           12          8           143        
foxglove     7           11          8           7           5           13          8           11          10          5           11          9           9           9           11          134        
garibaldi    11          8           15          10          8           8           15          7           10          5           15          8           7           7           13          147        
groton       11          6           12          5           16          7           10          8           10          7           10          8           16          11          9           146        
gustavus     7           6           10          10          12          14          10          14          8           16          6           9           3           16          13          154        
haney        10          11          14          11          12          14          9           9           4           9           10          11          13          15          8           160        
hyades       7           8           5           10          8           10          10          12          8           13          10          8           13          3           7           132        
hypotonic    13          11          8           7           16          7           7           8           6           13          9           6           5           11          13          140        
idetic       16          3           20          8           9           12          15          12          6           10          11          14          9           11          12          168        
impale       3           12          11          10          14          11          14          14          12          16          9           10          12          7           9           164        
irresistible 10          12          10          10          8           11          16          9           10          9           11          8           9           8           11          152        
lapel        14          19          5           10          9           14          6           9           7           14          15          13          9           10          8           162        
lateran      12          13          12          13          16          7           12          12          10          19          9           9           8           9           8           169        
lear         12          8           10          14          7           13          10          12          8           8           11          13          6           13          10          155        
lowe         12          14          7           8           11          7           9           15          10          7           5           12          6           14          14          151        
matsumoto    13          16          10          11          11          8           8           12          12          13          12          8           6           7           11          158        
mckee        6           13          9           13          5           9           6           8           8           6           8           14          15          6           15          141        
mollusk      6           10          16          13          15          12          7           12          18          4           11          9           10          5           11          159        
oaken        11          13          15          11          11          16          12          19          3           11          13          10          15          12          6           178        
octogenarian 8           8           10          12          8           10          8           8           11          16          11          9           9           7           6           141        
paternoster  9           8           12          11          13          12          6           6           13          11          8           13          15          15          12          164        
persephone   10          7           7           5           4           6           9           8           5           10          8           8           17          8           11          123        
persist      14          8           5           9           6           10          8           15          9           7           6           7           13          6           11          134        
petersen     12          7           10          6           9           6           11          15          6           4           8           11          11          16          21          153        
polarogram   9           14          9           11          12          6           14          6           12          6           6           14          7           9           13          148        
quirk        10          12          10          8           6           7           9           12          8           12          10          12          6           11          8           141        
registration 8           11          8           14          5           8           13          6           16          13          11          10          8           13          3           147        
resignation  18          7           8           16          6           9           12          9           8           7           13          9           12          7           7           148        
sirius       15          10          10          7           9           9           11          10          14          5           13          12          9           11          11          156        
siskin       14          9           10          18          11          9           11          8           11          9           10          11          5           7           9           152        
slice        7           8           8           9           10          7           6           12          17          8           11          9           14          14          11          151        
suitor       8           5           7           7           9           13          13          5           5           14          6           16          10          11          8           137        
think        6           5           6           4           10          9           6           3           11          11          7           7           13          8           11          117        
thule        14          6           9           8           13          6           8           8           13          9           7           14          7           11          9           142        
turnover     11          13          12          9           6           12          5           13          6           13          12          7           11          12          7           149        
usn          12          10          9           12          12          10          5           17          9           12          13          6           9           16          9           161        
vibrato      7           9           9           9           8           12          9           13          10          14          6           4           15          7           14          146        
visitation   9           7           13          4           10          17          9           11          8           15          6           10          10          12          11          152        
warrant      6           11          6           9           14          7           16          10          10          9           9           8           10          14          13          152        
