             text_00     text_01     text_02     text_03     text_04     text_05     text_06     text_07     text_08     text_09     text_10     text_11     text_12     text_13     text_14     text_15     text_16     text_17     text_18     text_19     text_20     text_21     text_22     text_23     text_24     text_25     text_26     text_27     text_28     text_29     text_30     text_31     text_32     text_33     text_34     text_35     text_36     text_37     text_38     text_39     text_40     text_41     text_42     text_43     text_44     text_45     text_46     text_47     text_48     text_49     total      
archery      11          12          14          8           7           9           20          9           6           10          9           9           16          13          12          14          5           11          11          11          5           8           8           11          4           9           5           13          8           7           9           7           9           10          17          11          15          9           10          10          11          10          7           9           13          13          8           5           7           6           491        
bellatrix    6           11          9           8           9           9           8           12          10          14          11          6           9           9           12          17          15          9           7           15          14          12          13          8           7           8           10          8           14          13          12          9           5           12          9           13          15          11          9           15          10          10          9           12          8           8           12          14          9           11          526        
benares      10          10          8           6           8           16          9           12          11          16          8           10          9           14          7           10          5           15          10          10          9           13          10          12          10          10          10          9           16          19          5           5           9           14          12          6           6           8           6           6           9           6           10          15          10          9           13          8           8           10          497        
bestirring   14          11          9           7           7           8           7           2           7           8           14          5           8           9           7           7           6           11          13          13          12          7           14          15          10          15          16          9           6           10          9           8           9           18          9           5           12          8           15          21          11          9           12          10          10          10          10          5           12          9           499        
boulder      7           13          4           18          9           13          10          10          7           6           6           13          12          11          10          13          12          17          11          7           5           11          12          6           12          10          6           9           13          7           6           9           5           12          5           9           14          13          11          10          10          7           12          9           11          3           10          15          12          8           491        
bruit        10          8           14          13          13          10          10          10          13          11          12          7           14          2           7           7           4           13          7           8           7           6           8           8           10          12          12          11          9           6           13          7           8           9           11          3           12          7           7           13          7           10          16          10          13          18          7           7           12          13          485        
capstan      9           13          10          9           9           14          13          14          10          10          11          6           10          10          3           12          6           13          10          7           7           12          10          10          9           15          9           11          10          7           10          10          11          8           8           11          9           8           14          9           12          14          9           6           10          12          11          8           8           9           496        
chiropractor 7           11          7           11          8           6           10          9           10          6           15          9           11          8           14          13          10          10          3           9           8           15          12          16          14          13          8           9           11          10          16          16          12          7           12          7           11          8           7           7           7           12          2           11          7           10          12          10          8           8           493        
clockwise    5           10          12          12          8           9           12          9           11          8           12          6           5           11          12          7           10          14          8           12          17          7           8           13          12          10          8           3           9           6           8           15          10          4           8           10          9           11          7           6           8           13          13          12          10          10          8           9           6           13          476        
coates       11          10          10          11          7           6           11          12          8           13          7           7           13          10          8           10          7           9           7           5           9           16          11          12          9           9           9           10          4           6           9           13          9           10          7           11          7           16          8           6           9           16          13          7           8           13          14          12          12          16          493        
